node,name,RTT_ms,interest_receive_time,interest_sent_time,interest_latency,data_receive_time,data_sent_time,data_latency,parsing,processing,sending_time,functions
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61014.85794496536,0,,0,0,,0.05,0.56,25.14,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61014.92735910416,0,,0,0,,0.06,1.30,25.06,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61014.94372391701,0,,0,0,,0.02,0.59,25.11,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,24.03,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61015.001625061035,0,,0,0,,0.02,0.52,23.45,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61015.05928993225,0,,0,0,,0.04,0.56,25.12,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61019.63169503212,0,,0,0,,0.13,0.68,21.68,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61019.66378593445,0,,0,0,,0.04,0.60,21.40,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,21.07,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61019.856739997864,0,,0,0,,0.11,0.99,22.39,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61019.87247610092,0,,0,0,,0.02,0.72,22.90,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61019.900374889374,0,,0,0,,0.02,0.73,22.44,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61019.9313249588,0,,0,0,,0.03,0.42,25.27,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61019.944480895996,0,,0,0,,0.08,0.85,25.08,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,20.78,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61020.06245803833,0,,0,0,,0.05,0.56,25.14,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61020.18307900429,0,,0,0,,2.10,2.34,23.41,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61020.21597790718,0,,0,0,,0.07,3.71,22.27,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61020.27351498604,0,,0,0,,0.35,17.69,30.79,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61020.300088882446,0,,0,0,,0.08,0.82,26.12,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61020.33049798012,0,,0,0,,0.11,0.25,25.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.12,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61020.38858604431,0,,0,0,,0.03,0.68,25.12,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61020.4254219532,0,,0,0,,0.03,0.43,24.02,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.07,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61020.49388599396,0,,0,0,,0.06,1.11,20.93,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,25.06,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.08,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61025.62744092941,0,,0,0,,0.11,0.76,21.16,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61025.67502593994,0,,0,0,,0.04,0.62,20.48,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61025.76453590393,0,,0,0,,0.14,0.79,20.98,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,24.60,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61025.83571791649,0,,0,0,,0.05,1.52,20.56,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,20.82,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61025.87311196327,0,,0,0,,0.06,1.25,25.27,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61025.960300922394,0,,0,0,,0.24,2.12,25.21,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,23.51,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61026.022773981094,0,,0,0,,0.03,0.50,25.12,[]
14
