node,name,RTT_ms,interest_receive_time,interest_sent_time,interest_latency,data_receive_time,data_sent_time,data_latency,parsing_time,processing_time,send_time,functions
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66290.26342701912,0,,0,0,,0.03,0.54,24.62,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66290.3029859066,0,,0,0,,0.02,0.53,25.11,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66290.35336589813,0,,0,0,,0.03,0.53,22.22,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66290.41138911247,0,,0,0,,0.04,0.59,25.11,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66290.43956589699,0,,0,0,,0.03,0.33,23.49,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66290.49275898933,0,,0,0,,0.04,0.84,20.77,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66290.57718110085,0,,0,0,,0.06,1.37,23.61,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,23.47,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66295.14545297623,0,,0,0,,0.12,0.76,25.15,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66295.17651104927,0,,0,0,,0.03,0.55,22.84,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66295.25555205345,0,,0,0,,0.04,0.49,24.20,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66295.309953928,0,,0,0,,0.04,0.60,22.94,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66295.37685704231,0,,0,0,,0.03,0.46,25.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66295.40397500992,0,,0,0,,0.04,0.57,25.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66295.46490693092,0,,0,0,,0.05,0.73,25.79,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,22.11,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66295.51190400124,0,,0,0,,0.03,0.50,20.78,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66295.59212088585,0,,0,0,,0.10,1.86,23.11,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66295.64364099503,0,,0,0,,0.05,4.12,26.35,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66295.71378707886,0,,0,0,,1.70,2.67,26.49,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.11,0.00,20.87,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66295.7478621006,0,,0,0,,0.06,0.65,21.18,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66295.77691292763,0,,0,0,,0.03,0.65,25.15,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66295.82927799225,0,,0,0,,0.03,0.58,24.23,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,25.06,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66295.89925289154,0,,0,0,,0.04,0.83,20.65,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,25.13,[]
